movieid,title,audienceScore,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,boxOffice,distributor,soundType
han_solo_heroic_myth_wonder_woman,Han Solo Heroic Myth Wonder Woman,50.0,,,,2018-08-25,75.0,"Comedy, Horror, Sci-fi",English,Claude Nicolet,,,
voyage_tyler_durden_han_solo_stardust,Voyage Tyler Durden Han Solo Stardust,,,,,2020-02-11,114.0,Drama,English,Nathan Haack,,,
norman_bates_ferris_bueller_hermione_granger_vito_corleone,Norman Bates Ferris Bueller Hermione Granger Vito Corleone,43.0,,,,,120.0,Drama,Korean,Theresa Smith,,,
elegant_hermione_granger,Elegant Hermione Granger,60.0,,,,2020-10-23,90.0,"Action, Mystery & thriller",English,Donald Lewis,,,
adventure_rocky_balboa,Adventure Rocky Balboa,70.0,,,,2017-03-27,80.0,"Fantasy, Adventure, Animation",English,Howard Simms,,,
james_bond_courageous,James Bond Courageous,65.0,PG-13,"['Injury Images', 'Brief Drug Use', 'Thematic Elements', 'Language', 'Partial Nudity', 'Peril']",2018-06-01,2018-08-21,120.0,"Adventure, Drama, Romance",English,Leroy Fernandes,$31.4M,STX Films,
rocky_balboa_elegant_jack_sparrow,Rocky Balboa Elegant Jack Sparrow,55.0,,,,2015-10-05,88.0,Comedy,Spanish,Melanie Berube,,,
evoke_darth_vader_marty_mcfly,Evoke Darth Vader Marty McFly,88.0,,,,,,,,Bettie Edelson,,,
jon_snow_e.t.,Jon Snow E.T.,,,,,,123.0,Drama,English,Bessie Frame,,,
glorious_quench_iron_man,Glorious Quench Iron Man,74.0,,,1947-04-30,2016-05-23,92.0,"Crime, Drama",English,Robert Stgermain,,,
phenomenal_emerald_forrest_gump,Phenomenal Emerald Forrest Gump,19.0,,,,2012-03-13,103.0,"Crime, Drama",English,Paul Hannan,,,
marty_mcfly_quench_wonder_woman_hannibal_lecter,Marty McFly Quench Wonder Woman Hannibal Lecter,,,,,2016-10-20,61.0,Mystery & thriller,English,Levi Crow,,,
jack_torrance_the_joker_luke_skywalker,Jack Torrance The Joker Luke Skywalker,,,,2002-03-22,,98.0,Drama,English,Lewis Horn,$11.5K,Passport Pictures,Surround
voyage_cosmic_the_joker_stardust,Voyage Cosmic The Joker Stardust,86.0,,,,2020-11-19,104.0,"Documentary, Mystery & thriller",English,Erma Maymon,,,
darth_vader_journey_james_t._kirk_phenomenal,Darth Vader Journey James T. Kirk Phenomenal,89.0,,,,2019-01-04,120.0,"Comedy, Horror",Tagalog,Edward Glander,,,
cosmic_ferris_bueller_phenomenal,Cosmic Ferris Bueller Phenomenal,82.0,,,,2003-11-25,146.0,Drama,Hindi,Yolande Couch,,,
superman_bruce_wayne_epic,Superman Bruce Wayne Epic,60.0,,,,,66.0,"Crime, Drama, Mystery & thriller",English,Bradley Anderson,,,
dream_wonder_woman_zephyr_michael_corleone,Dream Wonder Woman Zephyr Michael Corleone,67.0,,,2009-12-04,,133.0,Drama,Hindi,Crystal Medina,$199.2K,Big Pictures,
escape_marvelous_wonder,Escape Marvelous Wonder,,,,,,103.0,Drama,French (France),Margaret Ciprian,,,
the_joker_glorious,The Joker Glorious,,,,,,80.0,Comedy,English,Jasmine Rogers,,,
ellis_redding_silent,Ellis Redding Silent,61.0,,,2011-09-30,2017-03-08,90.0,Documentary,English,Lee Dykstra,$10.5K,Freestyle Releasing,
velvet_anakin_skywalker,Velvet Anakin Skywalker,75.0,,,,2016-01-11,135.0,Drama,English,Mary Martinez,,,Stereo
dragon_whisper_infinite_enchanted,Dragon Whisper Infinite Enchanted,85.0,,,,1999-03-09,107.0,"Mystery & thriller, Drama, Action",English,Ella Kaczmarek,,,
e.t._mr._miyagi_sorcerer_forrest_gump,E.T. Mr. Miyagi Sorcerer Forrest Gump,73.0,,,,2017-10-07,137.0,Biography,English,Leticia Luneau,,,
enthralling_luke_skywalker_gandalf_adventure,Enthralling Luke Skywalker Gandalf Adventure,85.0,,,,2013-03-19,87.0,Comedy,English,Tom Barraclough,,,
whisper_don_vito_corleone_norman_bates,Whisper Don Vito Corleone Norman Bates,22.0,,,,,105.0,Mystery & thriller,English,Richard Warren,,,
holly_golightly_indiana_jones,Holly Golightly Indiana Jones,63.0,,,,,107.0,"Romance, Comedy",Korean,Karen Blane,,,
e.t._silent_iron_man,E.T. Silent Iron Man,,TVPG,"['V', 'L']",,2017-03-10,90.0,"Holiday, Mystery & thriller, Crime, Drama",English,Timothy Ramirez,,,
crimson_katniss_everdeen_labyrinth_the_terminator,Crimson Katniss Everdeen Labyrinth The Terminator,57.0,,,,,,,,Clarence Abel,,,
katniss_everdeen_lara_croft_gandalf_ellen_ripley,Katniss Everdeen Lara Croft Gandalf Ellen Ripley,,,,,,61.0,Mystery & thriller,English,Marian King,,,
rocky_balboa_hulk_glimmer,Rocky Balboa Hulk Glimmer,,,,,,106.0,Drama,Japanese,Kimberly Stubblefield,,,
sorcerer_wonder_woman_willy_wonka,Sorcerer Wonder Woman Willy Wonka,92.0,,,2005-08-10,2007-06-11,93.0,Documentary,Korean,Zane Gooch,$41.5K,Kino Pictures,
neo_vivid_scarlett_o'hara,Neo Vivid Scarlett O'Hara,,,,,2018-10-27,156.0,"Drama, Romance",Tamil,Maria Banker,,,
fantastic_james_bond_valley,Fantastic James Bond Valley,,,,,2009-07-28,64.0,Drama,English,Amy Rush,,,
quench_emerald_eon,Quench Emerald Eon,,,,,,74.0,Documentary,English,Ryann Drabek,,,
donnie_darko_black_widow_lost,Donnie Darko Black Widow Lost,,,,,,105.0,Drama,English,Jessica Brougham,,,
eclipse_princess_leia_beneath_starlight,Eclipse Princess Leia Beneath Starlight,20.0,,,,2016-03-11,94.0,Mystery & thriller,English,Gay Eaton,,,Stereo
beneath_voyage_scarlett_o'hara,Beneath Voyage Scarlett O'Hara,83.0,,,,2013-07-02,103.0,Comedy,English,Julius Carr,,,
annie_hall_brave_marty_mcfly_hiccup,Annie Hall Brave Marty McFly Hiccup,39.0,,,,2016-09-06,79.0,"Biography, Comedy",English,Johnny Overton,,,
crystal_darth_vader_ethereal,Crystal Darth Vader Ethereal,14.0,,,,,84.0,"Holiday, Romance, Comedy",English,Christopher Godwin,,,
enigma_enchanted_dazzling,Enigma Enchanted Dazzling,82.0,,,,,101.0,Documentary,Spanish,Sandra King,,,
enigma_treasure_dazzling_scarlett_o'hara,Enigma Treasure Dazzling Scarlett O'Hara,0.0,,,,2017-02-04,84.0,Horror,English,Robert Henry,,,
travis_bickle_hulk_miracle_tony_montana,Travis Bickle Hulk Miracle Tony Montana,25.0,,,,,87.0,Comedy,French (Canada),Trisha Middleton,,,
donnie_darko_captain_america_mystique,Donnie Darko Captain America Mystique,,,,,2017-01-19,91.0,Action,Chinese,Amanda Augustine,,,
james_bond_indiana_jones_ellen_ripley_spectacular,James Bond Indiana Jones Ellen Ripley Spectacular,,,,2020-12-03,2020-12-03,87.0,"Documentary, Music",,Kathy Vangundy,,,
epic_gandalf_the_grey_darth_vader_crimson,Epic Gandalf the Grey Darth Vader Crimson,74.0,,,2011-05-06,2017-03-11,143.0,"Horror, Mystery & thriller",Hindi,Irene Huddleston,,Reliance Big Pictures,
courageous_norman_bates_riddle_gandalf,Courageous Norman Bates Riddle Gandalf,,,,,2019-04-18,101.0,"Mystery & thriller, Drama, Action",Arabic,Darrell Enriquez,,,
captain_jack_sparrow_destiny_whimsical_dracula,Captain Jack Sparrow Destiny Whimsical Dracula,,,,,2005-10-04,108.0,Horror,English,Alexandria Waterman,,,
scarlett_o'hara_luke_skywalker_john_mcclane,Scarlett O'Hara Luke Skywalker John McClane,,,,,2020-04-24,83.0,"Action, Crime, Drama",English,Linda Lee,,,
myriad_forrest_gump_celestial_the,Myriad Forrest Gump Celestial The,38.0,R,"['Some Sexual Content/Nudity', 'Language', 'Drug Material']",2017-09-08,2017-11-07,86.0,"Comedy, Action",English (United Kingdom),Erika Hill,,Saban Films,
valley_mystique_james_t._kirk,Valley Mystique James T. Kirk,,,,,2010-04-20,101.0,Comedy,English,Vance Tatum,,,
bruce_wayne_heroic_voyage_elegant,Bruce Wayne Heroic Voyage Elegant,,,,,,97.0,Drama,English,John Dees,,,Stereo
katniss_everdeen_island_wondrous,Katniss Everdeen Island Wondrous,96.0,,,,2020-06-19,106.0,"Documentary, History",English,Patricia Freeland,,,
wanderer_fantasy_wondrous_marty_mcfly,Wanderer Fantasy Wondrous Marty McFly,33.0,TVPG,"['L', 'S', 'V']",,2009-01-20,97.0,Romance,English,Nancy Bain,,,
indiana_jones_fantasy_hermione_granger,Indiana Jones Fantasy Hermione Granger,,,,,,22.0,Mystery & thriller,Spanish,Arthur Selfridge,,,
sherlock_holmes_han_solo_phantom,Sherlock Holmes Han Solo Phantom,,,,,,120.0,Documentary,English,Margaret Rodriguez,,,
destiny_dracula_willy_wonka_han_solo,Destiny Dracula Willy Wonka Han Solo,,,,,,80.0,Drama,English,Angela Flint,,,
luke_skywalker_phantom_frodo_baggins,Luke Skywalker Phantom Frodo Baggins,,,,,,105.0,"Kids & family, Documentary",English,Hannah Bolyard,,,
the_joker_hidden_jon_snow,The Joker Hidden Jon Snow,44.0,,,1963-10-02,2011-06-27,103.0,"Crime, Drama",English,Penny Atkins,,,
ethereal_superman_magic_enigma,Ethereal Superman Magic Enigma,,,,,2021-09-14,64.0,Documentary,English,Shirley Allison,,,
galaxy_frodo_baggins,Galaxy Frodo Baggins,,,,,,180.0,Drama,Malayalam,Louis Crotts,,,
holly_golightly_sorcerer,Holly Golightly Sorcerer,,,,,,,,,Jane Bauer,,,
legend_zephyr_indiana_jones_miracle,Legend Zephyr Indiana Jones Miracle,,,,,,83.0,Romance,,Rhonda Park,,,
bruce_wayne_rocky_balboa_mystery,Bruce Wayne Rocky Balboa Mystery,41.0,,,1996-03-22,2002-04-30,99.0,Drama,English,Karen Payne,$1.7M,,Surround
neo_illusion_whisper,Neo Illusion Whisper,64.0,,,,,,,,David Mitchell,,,
katniss_everdeen_neo_gandalf_princess_leia,Katniss Everdeen Neo Gandalf Princess Leia,22.0,,,,2012-01-01,90.0,Horror,English,Jo Stewart,,,
luke_skywalker_adventure_john_wick,Luke Skywalker Adventure John Wick,49.0,,,,,100.0,Comedy,Italian,John Deleon,,,
enthralling_valiant,Enthralling Valiant,,,,,,,,,Melissa Paulson,,,
james_bond_wolverine_rocky_balboa,James Bond Wolverine Rocky Balboa,,,,,,120.0,Drama,Afrikaans,Harold Fugate,,,
the_terminator_john_wick_mystic_ellen_ripley,The Terminator John Wick Mystic Ellen Ripley,41.0,R,"['Language', 'Sexual Content']",,2005-10-25,94.0,"Romance, Comedy",English,Heather Mcclaine,,,Dolby Digital
crimson_black_widow,Crimson Black Widow,,,,,,100.0,Comedy,Italian,Concepcion Horn,,,
vito_corleone_whisper_anakin_skywalker,Vito Corleone Whisper Anakin Skywalker,18.0,,,,2022-08-24,90.0,"Action, Comedy",Italian,Steve Harpster,,,
forrest_gump_quest_astonish,Forrest Gump Quest Astonish,,,,,,,,,Augusta Daniel,,,
v_scarlett_o'hara,V Scarlett O'Hara,,,,2021-12-10,,100.0,Drama,Spanish,Brandon Garza,,Outsider Pictures,
quench_enchanted,Quench Enchanted,50.0,,,,2006-08-29,92.0,Comedy,Chinese,Joseph Brooks,,,
cosmic_elegant_neo,Cosmic Elegant Neo,76.0,,,,2016-04-12,87.0,Documentary,English,Kristina Angel,,,
james_bond_epic_galaxy_mythical,James Bond Epic Galaxy Mythical,,,,,,91.0,Drama,English,Inez Villanvera,,,
rocky_balboa_jon_snow_rick_blaine,Rocky Balboa Jon Snow Rick Blaine,,,,,,,,,Joseph Brooks,,,
starlight_luke_skywalker,Starlight Luke Skywalker,53.0,,,,,97.0,Mystery & thriller,English,Ella Simpson,,,
lost_golden_darth_vader_tony_stark,Lost Golden Darth Vader Tony Stark,,,,,,96.0,Adventure,Dutch,Naomi Campbell,,,
black_widow_ellen_ripley_elegant_indiana_jones,Black Widow Ellen Ripley Elegant Indiana Jones,,,,,,,,,Jane Walker,,,
sapphire_wonder,Sapphire Wonder,,,,,,85.0,"Comedy, Drama",French (Canada),Ronald Voigt,,,Surround
sherlock_holmes_indiana_jones_wonder_tyler_durden,Sherlock Holmes Indiana Jones Wonder Tyler Durden,43.0,PG,"['Mild Crude Humor', 'Language', 'Some Violence']",2009-01-16,2009-05-19,91.0,Comedy,English,Elena Horne,$146.3M,Sony Pictures Entertainment,
frodo_baggins_katniss_everdeen,Frodo Baggins Katniss Everdeen,,,,,,79.0,Horror,Tagalog,Sara Maggard,,,
scarlett_o'hara_vito_corleone_crystal_captain_jack_sparrow,Scarlett O'Hara Vito Corleone Crystal Captain Jack Sparrow,67.0,,,1963-11-13,2012-10-17,98.0,Comedy,English,Tonya Gardner,,20th Century Fox,
whispering_enchant_hannibal_lecter_dream,Whispering Enchant Hannibal Lecter Dream,,,,,2020-02-14,60.0,Documentary,English,Reed Brooks,,,
labyrinth_treasure,Labyrinth Treasure,,,,,2005-10-11,104.0,"Comedy, Drama",French (Canada),Joyce Dube,,,Surround
starlight_sorcerer_black_widow,Starlight Sorcerer Black Widow,71.0,,,1991-01-11,2001-10-02,110.0,Drama,English,Duane Sandidge,$14.0M,,Surround
moonlit_enchanted_majestic,Moonlit Enchanted Majestic,87.0,R,"['Some Sex Related Dialogue', 'Language']",2002-02-22,2002-09-24,100.0,"Comedy, Drama",English,Francisca Rickman,$13.9M,USA Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR"
eon_katniss_everdeen_han_solo_darth_vader,Eon Katniss Everdeen Han Solo Darth Vader,,PG-13,"['Drug Material', 'Violence', 'Sexual Content']",,2016-04-05,107.0,"Action, Drama, Romance",English,Shirley Benites,,,
astonish_lara_croft,Astonish Lara Croft,92.0,,,,2016-08-19,90.0,"Horror, Mystery & thriller",English,Edward Delapp,,,
valley_marty_mcfly_velvet,Valley Marty McFly Velvet,42.0,,,,,113.0,Comedy,French (France),Adam Rogers,,,
scarlett_o'hara_indiana_jones_island_indiana_jones,Scarlett O'Hara Indiana Jones Island Indiana Jones,,,,,2020-02-21,90.0,Documentary,English,Deanna Franco,,,
dragon_indiana_jones,Dragon Indiana Jones,100.0,,,,2017-12-18,82.0,Drama,English,Sharron Washington,,,
illusion_emerald_annie_hall_james_t._kirk,Illusion Emerald Annie Hall James T. Kirk,79.0,,,,2004-03-23,145.0,"History, Drama",Chinese,Christine Schempp,,,
superman_donnie_darko_james_bond,Superman Donnie Darko James Bond,26.0,,,,,82.0,"Holiday, Romance, Comedy",English,Felecia Whitfield,,,
lara_croft_fantastic_secret,Lara Croft Fantastic Secret,,,,,,,,,Willie Tijerina,,,
mythical_dazzling_norman_bates_mystery,Mythical Dazzling Norman Bates Mystery,,,,,,104.0,"Drama, Mystery & thriller, Romance",English,Jessica Isaacs,,,
ethereal_tony_montana_james_bond_hiccup,Ethereal Tony Montana James Bond Hiccup,,,,,,96.0,Romance,English,David Sova,,,
